state,x,y
Andhra Pradesh,-77.0,-145.0
Arunachal Pradesh,250.0,169.0
Assam,203.0,119.0
Bihar,69.0,99.0
Chhattisgarh,-9.0,1.0
Goa,-176.0,-139.0
Gujarat,-247.0,17.0
Haryana,-132.0,170.0
Himachal Pradesh,-108.0,227.0
Jharkhand,51.0,49.0
Karnataka,-141.0,-164.0
Kerala,-125.0,-250.0
Madhya Pradesh,-96.0,35.0
Maharashtra,-160.0,-47.0
Manipur,235.0,80.0
Meghalaya,183.0,98.0
Mizoram,216.0,47.0
Nagaland,240.0,113.0
Odisha,40.0,-23.0
Punjab,-143.0,209.0
Rajasthan,-188.0,101.0
Sikkim,115.0,137.0
Tamil Nadu,-82.0,-233.0
Telangana,-69.0,-78.0
Tripura,185.0,56.0
Uttar Pradesh,-51.0,125.0
Uttarakhand,-72.0,190.0
West Bengal,104.0,43.0
